cities,route_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,hover_text,stop_num,band_1,description_1,video_1,band_2,description_2,video_2,band_3,description_3,video_3,band_4,description_4,video_4,band_5,description_5,video_5,cartodb_id,pic,geojson
"Chicago, IL",2,1/2/02 21:42,1/2/02 21:56,1,-87.63241,41.88415,Video coming soon!,4,,,,,,,,,,,,,,,,15,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/chicago.png,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
"Denver, CO",1,1/2/02 21:42,1/2/02 21:56,1,-104.9923,39.74001,Click to see videos,6,Paper Bird,"""The Doldrums"" (acapella)","<iframe src=""http://player.vimeo.com/video/52030634?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,,,,,,,,,,,,17,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/denver-co.png,"{""type"":""Point"",""coordinates"":[-104.9923,39.74001]}"
"Moab, UT",2,1/2/02 21:42,1/2/02 21:56,1,-109.55306,38.57022,Video coming soon!,7,,,,,,,,,,,,,,,,18,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-109.55306,38.57022]}"
"Reno, NV",2,1/2/02 21:42,1/2/02 21:57,1,-119.81344,39.52738,Video coming soon!,8,,,,,,,,,,,,,,,,19,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-119.81344,39.52738]}"
"Oakland, CA",2,1/1/01 0:00,1/1/01 0:00,,-122.277832,37.792422,Video coming soon!,10,,,,,,,,,,,,,,,,21,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-122.27783,37.79242]}"
"Sonoma County, CA",2,1/2/02 21:42,1/2/02 21:57,1,-122.82701,38.49622,Video coming soon!,11,,,,,,,,,,,,,,,,22,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-122.82701,38.49622]}"
"Portland, OR",2,1/2/02 21:42,1/2/02 21:57,1,-122.72106,45.4418,Video coming soon!,12,,,,,,,,,,,,,,,,23,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/portland-or.png,"{""type"":""Point"",""coordinates"":[-122.72106,45.4418]}"
Yellowstone National Park,2,1/2/02 21:42,1/2/02 21:57,1,-110.66627,44.13486,Video coming soon!,14,,,,,,,,,,,,,,,,25,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-110.66627,44.13486]}"
"Rapid City, SD",2,1/2/02 21:42,1/2/02 21:57,1,-103.23089,44.08116,Video coming soon!,15,,,,,,,,,,,,,,,,26,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-103.23089,44.08116]}"
"Fairfield, IA",1,1/2/02 21:42,1/2/02 21:57,1,-91.96291,41.00666,Click to see videos,16,"Taylor Ross, founder of the Beauty Shop","Interview with one of the founders and organizers behind the Beauty Shop, a DIY venue space.","<iframe src=""http://player.vimeo.com/video/61115274?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,,,,,,,,,,,,27,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/fairfield-ia.png,"{""type"":""Point"",""coordinates"":[-91.96291,41.00666]}"
"Janesville, WI",2,1/2/02 21:42,1/2/02 21:57,1,-89.01821,42.68789,Video coming soon!,17,,,,,,,,,,,,,,,,28,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-89.01821,42.68789]}"
"Chicago, IL",2,1/2/02 21:42,1/2/02 21:57,1,-87.63241,41.88415,Video coming soon!,18,,,,,,,,,,,,,,,,29,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/chicago.png,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
"Pittsburgh, PA, ",2,1/2/02 21:42,1/2/02 21:57,1,-79.99746,40.43833,Video coming soon!,19,,,,,,,,,,,,,,,,30,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-79.99746,40.43833]}"
"San Francisco, CA",2,1/2/02 21:42,2/14/13 21:17,1,-122.4508667,37.76202989,Video coming soon!,9,,,,,,,,,,,,,,,,20,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/san-francisco.png,"{""type"":""Point"",""coordinates"":[-122.45087,37.76203]}"
"Seattle, WA",2,1/2/02 21:42,2/18/13 19:54,1,-122.32944,47.60356,Video coming soon!,13,,,,,,,,,,,,,,,,24,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/seattle.png,"{""type"":""Point"",""coordinates"":[-122.32944,47.60356]}"
"Richmond, VA",2,1/2/02 21:42,3/22/13 21:51,1,-77.43365,37.5407,Video coming soon!,11,,,,,,,,,,,,,,,,11,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-77.43365,37.5407]}"
"Buffalo, NY",2,1/2/02 21:42,3/22/13 21:51,1,-78.87846,42.88544,Video coming soon!,1,,,,,,,,,,,,,,,,12,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/buffalo-ny.png,"{""type"":""Point"",""coordinates"":[-78.87846,42.88544]}"
"Boston, MA",1,1/2/02 21:42,3/22/13 21:51,1,-71.0567,42.35863,Click to see videos,1,Sons of an Illustrious Father,Interview,"<iframe src=""http://player.vimeo.com/video/29228854?title=0&byline=0&portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",Sons of an Illustrious Father,"""We Are Born and We Die""","<iframe src=""http://player.vimeo.com/video/28185787?title=0&byline=0&portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",Mornin' Old Sport,Interview,"<iframe src=""http://player.vimeo.com/video/30018892?title=0&byline=0&portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",Mornin' Old Sport,"""Boat Man""","<iframe src=""http://player.vimeo.com/video/27649143?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",Mornin' Old Sport,"""Put One Back""","<iframe src=""http://player.vimeo.com/video/27655958?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",1,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/allston.png,"{""type"":""Point"",""coordinates"":[-71.0567,42.35863]}"
